Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
671,Black Lives Matter Movement,             ,-,2013,USA,Social Movement,Nationwide,Movement against violence and systemic racism towards black people.,African American community,"Activists, general public",Positive,"Black Lives Matter (BLM) is a decentralized political and social movement that aims to highlight racism, discrimination and racial inequality experienced by black people, and to promote anti-racism. Its primary concerns are police brutality and racially motivated violence against black people. The movement began in response to the killings of Trayvon Martin, Michael Brown, Eric Garner, and Rekia Boyd, among others."
672,Supreme Court Upholds Obamacare,28,June,2012,USA,Judicial,Washington D.C.,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage.",American citizens,Supreme Court,Positive,
673,US-Mexico Border Wall Expansion,             ,-,2017,USA,Political/Infrastructure,US-Mexico Border,Controversial project aimed at curbing illegal immigration and trafficking.,"Migrants, American citizens",Donald Trump,Mixed,
674,Same-Sex Marriage Legalization,26,June,2015,USA,Legal,Nationwide,"Supreme Court legalized same-sex marriage, a landmark decision.","LGBTQ+ community, citizens","Supreme Court, LGBTQ+ activists",Positive,
675,#MeToo Movement,             ,-,2017,USA,Social Movement,Nationwide,"Movement against sexual harassment and assault, sparking global conversations.","Survivors, general public","Tarana Burke, Alyssa Milano",Positive,
676,Capitol Riot,6,January,2021,USA,Political,Washington D.C.,"Violent attack on the US Capitol, leading to concerns about democracy.",American citizens,"Proponents of false claims, law enforcement",Negative,"On January 6, 2021, the United States Capitol in Washington, D.C., was attacked by a mob of supporters of President Donald Trump in an attempted self-coup, two months after his defeat in the 2020 presidential election. They sought to keep him in power by preventing a joint session of Congress from counting the Electoral College votes to formalize the victory of the president-elect Joe Biden. The attack was unsuccessful in preventing the certification of the election results."
677,George Floyd Protests and Derek Chauvin Trial,             ,-,2020,USA,Social Movement/Legal,Nationwide,Nationwide protests against racial injustice; Derek Chauvin's trial and conviction.,"Black community, citizens","Activists, legal system",Mixed,
678,Paris Agreement Rejoining,20,January,2021,USA,Environmental,International,"Rejoined the Paris Agreement, signaling renewed commitment to climate action.",Global community,"Joe Biden, International leaders",Positive,
679,Hurricane Sandy,29,October,2012,USA,Natural Disaster,East Coast,Devastating hurricane causing extensive damage and highlighting climate risks.,East Coast residents,"Local governments, relief efforts",Negative,"Hurricane Sandy was an extremely large and devastating tropical cyclone which ravaged the Caribbean and the coastal Mid-Atlantic region of the United States in late October 2012. It was the largest Atlantic hurricane on record as measured by diameter, with tropical-storm-force winds spanning 1,150 miles (1,850 km). The storm inflicted nearly US$70 billion in damage, and killed 254 people in eight countries, from the Caribbean to Canada."
680,Affordable Care Act (Obamacare) Implementation,             ,-,2010,USA,Healthcare,Nationwide,Implementation of the Affordable Care Act aimed at improving healthcare access.,American citizens,"Barack Obama, Healthcare professionals",Positive,
681,March on Washington for Jobs and Freedom,28,August,1963,USA,Social Movement,Washington D.C.,"Iconic civil rights march, culminating in Martin Luther King Jr.'s ""I Have a Dream"" speech.","Civil rights activists, citizens","Martin Luther King Jr., Activists",Positive,"The March on Washington for Jobs and Freedom was held in Washington, D.C., on August 28, 1963. The purpose of the march was to advocate for the civil and economic rights of African Americans. At the march, several popular singers, including Mahalia Jackson and Marian Anderson, performed and many of the movement's leaders gave speeches."
682,Assassination of President John F. Kennedy,22,November,1963,USA,Political,"Dallas, Texas","Shocked the nation, leading to significant political consequences.",American public,Lee Harvey Oswald (alleged),Negative,"John F. Kennedy, the 35th president of the United States, was assassinated while riding in a presidential motorcade through Dealey Plaza in Dallas, Texas, on November 22, 1963. Kennedy was in the vehicle with his wife Jacqueline, Texas governor John Connally, and Connally's wife Nellie, when he was fatally shot from the nearby Texas School Book Depository by Lee Harvey Oswald, a former U.S."
683,Stonewall Riots,28,June,1969,USA,Social Movement,"New York, NY",Marked the beginning of the modern LGBTQ+ rights movement.,LGBTQ+ community,"LGBTQ+ activists, police",Positive,"The Stonewall riots were a series of spontaneous riots and demonstrations against a police raid that took place in the early morning hours of June 28, 1969, at the Stonewall Inn, in the Greenwich Village neighborhood of Lower Manhattan in New York City. Although the demonstrations were not the first time American LGBTQ people fought back against government-sponsored persecution of sexual minorities, the Stonewall riots marked a new beginning for the gay rights movement in the United States and around the world."
684,Roe v. Wade Supreme Court Decision,22,January,1973,USA,Judicial,Washington D.C.,"Legalized abortion nationwide, sparking ongoing debates.",Women nationwide,Supreme Court,Positive,
685,Tech Boom and Dot-com Bubble,             ,-,1990,USA,Economic,"Silicon Valley, CA","Rapid growth in tech industry, followed by a market crash in 2000.","Tech companies, investors","Tech entrepreneurs, investors",Mixed,
686,Enactment of the Patriot Act,26,October,2001,USA,Legislative,Nationwide,"Expanded surveillance powers post-9/11, raising privacy concerns.",American citizens,"George W. Bush, Congress",Mixed,
687,Housing Market Crash and Great Recession,             ,-,2008,USA,Economic,Nationwide,"Triggered global financial crisis, leading to widespread economic hardship.","Homeowners, global economy","Financial institutions, government",Negative,
688,Charlottesville Rally and Violence,12,August,2017,USA,Social Unrest,"Charlottesville, VA",Highlighted racial tensions and sparked national debate on hate groups.,"General public, activists","White supremacists, counterprotesters",Negative,
689,US Recognition of Jerusalem as Israel's Capital,6,December,2017,USA,International Policy,International,"Shifted US foreign policy, leading to global reactions and tensions.",International community,"Donald Trump, Israeli government",Mixed,
690,January 6 Capitol Attack,6,January,2021,USA,Domestic Terrorism,Washington D.C.,"Attempt to overturn the 2020 presidential election results, challenging democratic norms.",American public,"Pro-Trump rioters, U.S. Congress",Negative,
691,Withdrawal from Afghanistan,30,August,2021,USA,Military,Afghanistan,"Ended America's longest war, resulting in rapid Taliban takeover.","Afghan citizens, U.S. military","U.S. Government, Taliban",Negative,"Afghanistan withdrawal may refer to:Soviet withdrawal from Afghanistan
Withdrawal of United States troops from Afghanistan
Withdrawal of United States troops from Afghanistan (2011–2016)
Withdrawal of United States troops from Afghanistan (2020–2021)."
692,First Woman Vice President Elected,20,January,2021,USA,Political,Nationwide,"Kamala Harris becomes the first female, first Black, and first Asian American vice president.",American citizens,"Kamala Harris, American voters",Positive,
693,Supreme Court Overturns Roe v. Wade,24,June,2022,USA,Judicial,Nationwide,"Ended federal protection for abortion rights, leaving regulation to states.",Women nationwide,U.S. Supreme Court,Negative,
694,Launch of James Webb Space Telescope,25,December,2021,USA,Space Exploration,Space,"Advanced space observatory to study the universe, successor to Hubble.",Global community,"NASA, ESA, CSA",Positive,
695,Boston Tea Party,16,December,1773,USA,Political Protest,"Boston, MA",Protest against British taxes on tea; pivotal event leading to the American Revolution.,Colonists,American Patriots,Positive,"The Boston Tea Party was a seminal American political and mercantile protest on December 16, 1773, during the American Revolution. Initiated by Sons of Liberty activists in Boston in colonial Massachusetts, one of the original Thirteen Colonies in British America, it escalated hostilities between Britain and American Patriots, who opposed British colonial mercantile and governing practices. Less than two years later, on April 19, 1775, the Battles of Lexington and Concord, also in Massachusetts, launched the eight-year American Revolutionary War between the British and the Thirteen Colonies, which ultimately prevailed, securing their independence and the establishment of the sovereign United States of America."
696,Lewis and Clark Expedition,             ,May,1804,USA,Exploration,Western USA,Expedition to explore the newly acquired western territory of the United States.,American explorers,"Meriwether Lewis, William Clark",Positive,"The Lewis and Clark Expedition, also known as the Corps of Discovery Expedition, was the United States expedition to cross the newly acquired western portion of the country after the Louisiana Purchase. The Corps of Discovery was a select group of U.S. Army and civilian volunteers under the command of Captain Meriwether Lewis and his close friend Second Lieutenant William Clark."
697,California Gold Rush,             ,January,1848,USA,Economic,California,Led to a massive influx of settlers and rapid economic growth.,Prospective miners,James W. Marshall,Positive,"The California gold rush (1848–1855) began on January 24, 1848, when gold was found by James W. Marshall at Sutter's Mill in Coloma, California. The news of gold brought approximately 300,000 people to California from the rest of the United States and abroad."
698,Seneca Falls Convention,19,July,1848,USA,Social Movement,"Seneca Falls, NY","First women's rights convention in the U.S., sparking the suffrage movement.","Women, activists","Elizabeth Cady Stanton, Lucretia Mott",Positive,"The Seneca Falls Convention was the first women's rights convention. Its organizers advertised it as ""a convention to discuss the social, civil, and religious condition and rights of woman"". Held in the Wesleyan Chapel of the town of Seneca Falls, New York, it spanned two days over July 19–20, 1848."
